id,lat,lon,city,state
75382,17.541302,78.231389,K.V.Rangareddy,Andhra Pradesh
75383,17.543304,78.222594,K.V.Rangareddy,Andhra Pradesh
75396,17.553803,78.192206,K.V.Rangareddy,Andhra Pradesh
75406,17.560828,78.545979,Hyderabad,Telangana
75415,17.56899,83.087981,Visakhapatnam,Andhra Pradesh
75513,17.665425,83.167569,Visakhapatnam,Andhra Pradesh
75570,17.688708,83.243762,Visakhapatnam,Andhra Pradesh
75621,17.720545,83.320411,Krishna,Andhra Pradesh
75657,17.740887,83.249255,Visakhapatnam,Andhra Pradesh
75705,17.796789,83.211521,Visakhapatnam,Andhra Pradesh
75726,17.828836,76.915016,Gulbarga,Karnataka
75880,18.023546,78.253725,Nizamabad,Andhra Pradesh
75890,18.04387,74.19015,Satara,Maharashtra
75915,18.082346,74.208525,Satara,Maharashtra
75979,18.184067,74.610884,Pune,Maharashtra
76030,18.293505,83.862491,Vijayanagaram,Andhra Pradesh
76047,18.321196,83.894101,Srikakulam,Andhra Pradesh
76143,18.467161,74.572998,Pune,Maharashtra
76145,18.469085,73.888587,Pune,Maharashtra
76151,18.472094,73.863215,Pune,Maharashtra
76154,18.481237,73.873976,Pune,Maharashtra
76156,18.482714,73.826688,Pune,Maharashtra
76160,18.486571,73.857473,Pune,Maharashtra
76180,18.501705,73.757596,Pune,Maharashtra
76182,18.50229,73.81518,Pune,Maharashtra
76183,18.502341,73.856951,Pune,Maharashtra
76214,18.522662,73.906547,Pune,Maharashtra
76225,18.53061,73.847096,Pune,Maharashtra
76228,18.532691,73.842531,Pune,Maharashtra
76235,18.539192,73.885674,Pune,Maharashtra
76241,18.54849,73.77347,Pune,Maharashtra
76250,18.557853,73.804198,Pune,Maharashtra
76252,18.562245,73.924711,Pune,Maharashtra
76253,18.562441,73.926665,Pune,Maharashtra
76266,18.577306,73.876265,Pune,Maharashtra
76275,18.590617,73.741164,Pune,Maharashtra
76277,18.592116,73.761113,Pune,Maharashtra
76285,18.596487,73.740665,Pune,Maharashtra
76293,18.60129,73.754311,Pune,Maharashtra
76301,18.611342,73.760412,Pune,Maharashtra
76305,18.612969,73.941098,Pune,Maharashtra
76307,18.615902,73.747807,Pune,Maharashtra
76317,18.623911,73.812494,Pune,Maharashtra
76318,18.624632,73.75805,Pune,Maharashtra
76319,18.624634,73.860146,Pune,Maharashtra
76321,18.624986,73.683826,Pune,Maharashtra
76322,18.628164,73.742639,Pune,Maharashtra
76324,18.628453,73.742306,Pune,Maharashtra
76333,18.638628,73.79582,Pune,Maharashtra
76334,18.639864,73.793729,Pune,Maharashtra
76340,18.648561,73.806744,Pune,Maharashtra
76345,18.654757,73.780911,Pune,Maharashtra
76352,18.659384,73.79664,Pune,Maharashtra
76354,18.661907,73.812471,Pune,Maharashtra
76421,18.748739,79.516539,Karimnagar,Andhra Pradesh
76437,18.7738,79.515186,Adilabad,Andhra Pradesh
76486,18.849198,74.407221,Ahmednagar,Maharashtra
76491,18.857578,79.481609,Adilabad,Andhra Pradesh
76512,18.907401,72.807761,Mumbai,Maharashtra
76518,18.916393,72.817223,Mumbai,Maharashtra
76519,18.919426,72.829833,Mumbai,Maharashtra
76521,18.924364,72.832868,Mumbai,Maharashtra
76523,18.924462,72.827134,Mumbai,Maharashtra
76524,18.92674,72.827566,Mumbai,Maharashtra
76525,18.928781,72.825537,Mumbai,Maharashtra
76527,18.931664,72.827253,Mumbai,Maharashtra
76528,18.933267,72.824323,Mumbai,Maharashtra
76530,18.934537,73.933809,Pune,Maharashtra
76531,18.935798,72.840669,Mumbai,Maharashtra
76532,18.936839,72.839823,Mumbai,Maharashtra
76533,18.937852,72.827496,Mumbai,Maharashtra
76534,18.9427,72.829917,Mumbai,Maharashtra
76576,18.986678,72.843848,Mumbai,Maharashtra
76654,19.053714,72.889262,Mumbai,Maharashtra
76655,19.053961,72.838022,Mumbai,Maharashtra
76656,19.054805,72.890984,Mumbai,Maharashtra
76657,19.0552,72.837394,Mumbai,Maharashtra
76675,19.062917,72.859398,Mumbai,Maharashtra
76679,19.06528,72.874865,Mumbai,Maharashtra
76684,19.069731,72.901627,Mumbai,Maharashtra
76694,19.074649,72.901207,Mumbai,Maharashtra
76708,19.079243,72.868474,Mumbai,Maharashtra
76715,19.083182,73.001232,Nashik,Maharashtra
76729,19.088226,72.850815,Mumbai,Maharashtra
76736,19.0906,74.743041,Ahmednagar,Maharashtra
76761,19.104899,72.886153,Thane,Maharashtra
76771,19.109104,74.745516,Ahmednagar,Maharashtra
76775,19.110882,72.895447,Mumbai,Maharashtra
76776,19.111095,73.032597,Thane,Maharashtra
76786,19.114701,72.859591,Mumbai,Maharashtra
76788,19.1162,72.856339,Mumbai,Maharashtra
76791,19.1165,73.001457,Mumbai,Maharashtra
76794,19.118051,73.006683,Thane,Maharashtra
76799,19.122339,72.838722,Mumbai,Maharashtra
76804,19.124748,72.823396,Mumbai,Maharashtra
76808,19.125707,74.754538,Ahmednagar,Maharashtra
76813,19.131103,72.84731,Mumbai,Maharashtra
76822,19.141755,72.848776,Mumbai,Maharashtra
76825,19.142677,72.831695,Thane,Maharashtra
76826,19.142677,72.842637,Mumbai,Maharashtra
76830,19.143704,72.83108,Mumbai,Maharashtra
76837,19.148649,72.843271,Mumbai,Maharashtra
76838,19.149114,72.999796,Mumbai,Maharashtra
76852,19.161532,72.857531,Mumbai,Maharashtra
